No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
1,นั่งร้านมีสภาพไม่สมบูรณ์ ไม่มีราวกันตก,Olefins2,SR,Unsafe Condition,Scaffolding,นั่งร้านมีสภาพไม่สมบูรณ์ ไม่มีราวกันตก,Scaffolding is incomplete. no guard rail
2,ใช้บันไดวางพาดเพื่อใช้ปฏิบัติงาน,Olefins2,SR,Unsafe Condition,Work at height,"ใช้บันไดวางพาด, ใช้ปฏิบัติงาน","Use a ladder to lay across, use for work"
3,ผู้ปฏิบัติงานทาสีบนนั่งร้านโดยไม่คล้องเกี่ยว Safety Harness,Olefins2,TTCL,Unsafe Action,Work at height,ผู้ปฏิบัติงานทาสีบนนั่งร้านโดยไม่คล้องเกี่ยว safety harness,Workers paint on scaffolding without attaching safety harnesses.
4,Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,Olefins2,ATI-LT,Unsafe Condition,Scaffolding,tag นั่งร้านหมดอายุ ยังไม่ได้ re-inspect,Scaffolding tag has expired. Haven't re-inspected yet.
5,ผู้ปฏิบัติงานยก Rotor ID Fan ไม่สวมใส่แว่นตา (แจ้งว่าเหงื่อเข้าตา เช็ดหน้าแล้วลืมใส่),Olefins2,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานยก rotor id fan ไม่สวมใส่แว่นตา (แจ้งว่าเหงื่อเข้าตา เช็ดหน้าแล้วลืมใส่),The operator lifted the rotor id fan not wearing glasses. (reported that sweat got into the eyes Wipe your face and forget to put it on)
6,งานยก Rotor ID Fan ไม่มีผ้ารองกันบาด สลิงผ้าใบ,Olefins2,TTCL,Unsafe Condition,Lifting,งานยก rotor id fan ไม่มีผ้ารองกันบาด สลิงผ้าใบ,"Lifting work, rotor id fan, no cut resistant cloth, canvas sling"
7,สายไฟวางพาด กีดขวางทางเดิน,Olefins2,TTCL,Unsafe Condition,Housekeeping,สายไฟวางพาด กีดขวางทางเดิน,"Power cables lay across, blocking the walkway."
8,หน้ากากเชื่อมอยู่ในสภาพชำรุด,Olefins2,KBL,Unsafe Condition,PPE,หน้ากากเชื่อมอยู่ในสภาพชำรุด,The welding mask is in a damaged condition.
9,งานยก Rotor ID Fan ไม่คล้องเกี่ยว Safety Harness,Olefins2,NIPPON,Unsafe Action,Work at height,งานยก rotor id fan ไม่คล้องเกี่ยว safety harness,The work of lifting the rotor id fan is not related to safety harness.
10,กองอุปกรณ์นั่งร้านทิ้งไว้ ไม่ได้จัดเก็บและไม่ได้ปิดล้อมพื้นที่,Olefins2,TTCL,Unsafe Condition,Housekeeping,"กองอุปกรณ์นั่งร้านทิ้งไว้ ไม่ได้จัดเก็บ, ไม่ได้ปิดล้อมพื้นที่","A pile of scaffolding equipment left. not stored, not enclosed space"
11,ข้อต่อ Coupling (งานกลึงหน้าแปลน) ใช้ลวดเส้นเล็กเป็นสลัก ไม่เป็นไปตามมาตรฐานที่กำหนด,Olefins2,RMS,Unsafe Condition,Installation/ Alignment,ข้อต่อ coupling (งานกลึงหน้าแปลน) ใช้ลวดเส้นเล็กเป็นสลัก ไม่เป็นไปตามมาตรฐานที่กำหนด,The coupling (flange turning) uses a thin wire as a bolt. does not meet the required standards
