FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
1,Bagging,Unknown,Unknown,Unsafe Action,Unknown,ไม่ตรวจสอบมาตการในข้อ6.1 ,Failure to review the measures in clause 6.1
2,LDPE,Unknown,Unknown,-,Unknown,เปลี่ยนงาน,change job
3,LDPE,Unknown,Unknown,-,Unknown,ทดสอบ1,test 1
4,PP2,Unknown,Unknown,Unsafe Action,Unknown,เปิด work permit เป็นงานขนย้ายอุปกรณ์นั่งร้าน แต่การทำงานที่หน้างานจริงเป็นตั้งนั่งร้าน,Open work permit to move scaffolding equipment But working at the actual job site is to set up scaffolding.
5,PP2,Unknown,Unknown,Unsafe Condition,Unknown,JSA เป็นงานขนย้ายอุปกรณ์ ผิดประเภทของงานที่ทำอยู่  หน้างานเป็นงานตั้งร้าน,JSA is a device moving job. Wrong type of work being done The job page is a shop setting.
6,PP2,Unknown,Unknown,Unsafe Action,Unknown,งานที่ทำคืองานตั้งนั่งร้าน  ไม่ตรงกับงานที่ระบุใน  work permit&JSA. ที่เป็นงานขนย้ายอุปกรณ์,The work done is to set up scaffolding. Does not match the job specified in the work permit & JSA.
7,PP2,Unknown,Unknown,Unsafe Action,Unknown,ไม่ตรงตามลักษณะงานที่ขอไว้,does not match the job description
8,HDPE1,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีป้ายเตือนพื้นที่อับอากาศ ตรงช่องเปิด D942 ,There is no confined space warning sign at the opening D942.
9,GA Site1,Unknown,Unknown,Unsafe Action,Unknown,มีสภาพพื้นที่สกปรก มีขยะของวางกอง,There is a dirty area There is a pile of garbage
10,LDPE,Unknown,Unknown,-,Unknown,Test edit Finding,Test edit Finding
