Details,Predict Type of finding,Type of finding
นั่งร้านมีสภาพไม่สมบูรณ์ ไม่มีราวกันตก,,Unsafe Condition
ใช้บันไดวางพาดเพื่อใช้ปฏิบัติงาน,Unsafe Action,Unsafe Condition
ผู้ปฏิบัติงานทาสีบนนั่งร้านโดยไม่คล้องเกี่ยว Safety Harness,Unsafe Action,Unsafe Action
Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,,Unsafe Condition
ผู้ปฏิบัติงานยก Rotor ID Fan ไม่สวมใส่แว่นตา (แจ้งว่าเหงื่อเข้าตา เช็ดหน้าแล้วลืมใส่),Unsafe Action,Unsafe Action
งานยก Rotor ID Fan ไม่มีผ้ารองกันบาด สลิงผ้าใบ,Unsafe Action,Unsafe Condition
สายไฟวางพาด กีดขวางทางเดิน,Unsafe Condition,Unsafe Condition
หน้ากากเชื่อมอยู่ในสภาพชำรุด,Unsafe Action,Unsafe Condition
งานยก Rotor ID Fan ไม่คล้องเกี่ยว Safety Harness,Unsafe Action,Unsafe Action
กองอุปกรณ์นั่งร้านทิ้งไว้ ไม่ได้จัดเก็บและไม่ได้ปิดล้อมพื้นที่,Unsafe Action,Unsafe Condition
ข้อต่อ Coupling (งานกลึงหน้าแปลน) ใช้ลวดเส้นเล็กเป็นสลัก ไม่เป็นไปตามมาตรฐานที่กำหนด,Unsafe Condition,Unsafe Condition
ข้อต่อ Coupling (งานกลึงหน้าแปลน) ไม่มีเทป double protection,Unsafe Condition,Unsafe Condition
"เครื่องเจียรในงานขัดหน้าแปลนไม่ได้ Inspect ประจำเดือนมกราคม, ใช้ Sticker เก่า",Unsafe Condition,Unsafe Condition
ทีมงานอยู่ใน Line of fire ขณะมีการยกท่อ,Unsafe Action,Unsafe Action
งาน Drain น้ำลง bund ไม่ได้ปิดล้อมพื้นที่ ป้องกันผู้ที่ไม่มีส่วนเกี่ยวข้องเข้าไปในบริเวณที่ปฏิบัติงาน,Unsafe Condition,Unsafe Condition
ช่องเปิดบนอาคาร ไม่มีการปิดกั้น Hard Barricade ซึ่งมีผู้ปฏิบัติงานเดินผ่านไปมา ,Unsafe Action,Unsafe Condition
เศษขยะจำนวนมากจากงานรื้อนั่งร้าน อุดอยู่ในร่อง,Unsafe Condition,Unsafe Condition
งาน HW I บนนั่งร้านสูง 4 เมตร มีสะเก็ดไฟหล่นลงมาตามทางเดินซึ่งไม่ได้ปิดล้อมพื้นที่ ,Unsafe Condition,Unsafe Condition
นั่งร้านมีสภาพไม่สมบูรณ์ ถูกรื้อแผ่นกระดานออกและไม่มีบันไดที่ชั้น2-3,Near Miss,Unsafe Condition
ผู้ปฏิบัติงานยืนทำงานนอกโครงสร้างนั่งร้าน และไม่มี Tag บอกสถานะของนั่งร้าน,Unsafe Action,Unsafe Action
"งานประกอบ, เชื่อม Platfrom ไม่ปิดล้อมผ้ากันไฟ",Unsafe Condition,Unsafe Condition
งานเชื่อมปิดล้อมผ้ากันไฟไม่มิดชิด ทำให้มีสะเก็ดไฟหล่นมาตามช่องลงพื้น,Unsafe Condition,Unsafe Condition
สว่านแบตเตอรี่ยังไม่ได้ผ่านการตรวจสภาพ,,Unsafe Condition
กองอุปกรณ์นั่งร้านวางสูงมากกว่า 2 เมตร,Unsafe Action,Unsafe Condition
Valve และอุปกรณ์วางทิ้งไว้ไม่ได้ใช้งาน/ ไม่นำออกจากพื้นที่ หลังจบงาน TA,Unsafe Condition,Unsafe Condition
Checklist generator ยังไม่ได้ Updated เป็นปีปัจจุบัน,Unsafe Condition,Unsafe Condition
Tag เขียว นั่งร้านมีการตรวจแล้ว แต่ลงวัน-เดือน-ปีผิด ,Unsafe Action,Unsafe Condition
วัสดุที่ไม่ได้ใช้งาน ไม่ได้จัดเก็บ กีดขวางพื้นที่ปฏิบัติงาน,Unsafe Condition,Unsafe Condition
การปิดกั้น Barricade งานติดตั้งนั่งร้านยังไม่ครอบคลุม,Unsafe Action,Unsafe Condition
Pack Argon ไม่ได้ใช้งาน กีดขวางพื้นที่การทำงาน ,Unsafe Condition,Unsafe Condition
เศษอุปกรณ์ทิ้งไว้บนนั่งร้าน,,Unsafe Condition
นั่งร้านมีช่องเปิดมีเศษวัสดุตกค้างด้านบนนั่งร้านจำนวนมาก,Unsafe Condition,Unsafe Condition
"ช่างสีผู้หญิงขึ้นทำงานเดินบนท่อ
",Unsafe Action,Unsafe Action
ทีมงาน Pipping TTCL ขึ้นทำงานบนที่สูงไม่คล่องเกี่ยว Harness,Unsafe Action,Unsafe Action
งานรื้อนั่งร้าน แต่ไม่ล้อมพื้นที่,,Unsafe Condition
รถเข็นสภาพล้อชำรุดยางแบน,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานไม่สวมไส่ Ear Plug ปฎิบัติงาน Air Flushing บนอาคารComp,Unsafe Action,Unsafe Action
พนักงานรับเหมาเดินบนท่อที่หุ้มเรียบร้อยแล้ว เป็นรอยบุบ,Unsafe Action,Unsafe Action
มีการนำบันไดนั่งร้านมาพาดใช้งานแบบผิดประเภท,Unsafe Action,Unsafe Condition
งานเจียรปูนแต่เครื่องเจียรไม่มี handle ไม่ล้อมพื้นทีกันละอองฝุ่นและไม่มี flogy สำหรับฉีดลดการฟุ้งกระจานของฝุ่น ,Unsafe Condition,Unsafe Condition
งานตัดเชื่อมเจียรSupport pipe ปิดกั้นผ้ากันไฟไม่มิดชิดมีลูกไฟกระเด็นออก นอกผ้ากันไฟ,Unsafe Condition,Unsafe Condition
นั่งร้านมีลักษณะไม่แข็งแรงโยกไปมา,Unsafe Condition,Unsafe Condition
รื้อนั่งร้านโดยไม่ล้อมพื้นที่,Unsafe Action,Unsafe Condition
นั่งร้านไม่มี Tag,,Unsafe Condition
Torque bolt บนเตา SC ความสูงประมาณ 27 เมตรได้ทำประแจเบอร์ 22 ร่วงหล่นลงมาค้างอยู่บนชั้นที่ความสูง 20 เมตร ,Near Miss,Near Miss
ใช้ประแจขันน็อตหน้าแปลนไม่มีเชือกผูก,Unsafe Action,Unsafe Action
นั่งร้านมีช่องเปิด,,Unsafe Condition
นั่งร้านแบบเคลื่อนที่ มีลักษณะเบียดชนกับสายสัญญาณของทาง Plant,Unsafe Condition,Unsafe Condition
สาย Load N2 ลวดสลิงไม่ได้พันกับเทป,Unsafe Condition,Unsafe Condition
Materail ค้างอยู่บน Pipe Rack,,Unsafe Condition
นั่งร้านมีสภาพไม่สมบูรณ์,,Unsafe Condition
"ถอดหน้าแปลนท่อขนาด 10"" แต่ประแจไม่มีการผูก",Unsafe Action,Unsafe Action
ผ้ากันไฟมีลักษณะขาดเป็นรู,Unsafe Action,Unsafe Condition
ล้อมล้อมผ้ากันไฟไม่มิดชิด,,Unsafe Condition
สาย flex ตัวหนอนขาออกจาก blower มีลักษณะชำรุด,Unsafe Condition,Unsafe Condition
ล้อมล้อมผ้ากันไฟไม่มิดชิด,,Unsafe Condition
จัดวางเครื่องรีดแผ่นอลูมิเนียม ฐานไม่มั่นคง,Unsafe Condition,Unsafe Condition
สลิงผ้าใบสภาพขาดชำรุด,,Unsafe Condition
สายไฟห้อยลงมาขวางทางเดิน,,Unsafe Condition
สาย House สลิงไม่ได้มัดกับเทป,Unsafe Condition,Unsafe Condition
สีหกเลอะพื้น,,Unsafe Condition
ช่องเปิดบริเวณใต้ TLE เสี่ยงต่อการตกจากที่สูง,Unsafe Action,Unsafe Condition
"งานรื้อ Insulation ไม่ได้ปิดล้อมผ้าใบ
",Unsafe Action,Unsafe Condition
ช่างสีขึ้นปฏิบัติงานบนนั่งร้าน ไม่ได้มาตราฐาน,Unsafe Action,Unsafe Condition
"1.ผู้ปฏิบัติงานขึ้นเหยียบ line ท่อที่หุ้มInsulation
2.safety harness คล้องเกี่ยวกับline ท่อผลิต",Unsafe Action,Unsafe Action
ไม่มีผ้ากันไฟ ปิดคุม insulation,Unsafe Action,Unsafe Condition
ใช้บันไดนั่งร้านมาพาดทำงาน,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานไม่สวมถุงมือ,,Unsafe Action
อุปกรณ์ ยังไม่ผ่านการตรวจสภาพและไม่ติด Tag,,Unsafe Condition
ผู้หญิงขึ้นนั่งร้าน  เกิน  10  เมตร,Unsafe Action,Unsafe Action
นำบันไดนั่งร้านพาด Handrail,Unsafe Action,Unsafe Action
นั่งร้านไม่พร้อมใช้งาน,,Unsafe Condition
ใช้ลวดมัด Guardrail ให้เปิดตลอดเวลา,Unsafe Action,Unsafe Condition
ขนย้ายถุง bigbag ด้วยรถ Forklift ไม่ได้ทำการกั้นพื้นที่,Unsafe Condition,Unsafe Condition
นำแผ่นนัางร้านมาพาดเป็นทางเดิน,,Unsafe Condition
งานเชื่อมไม่มี Fire watch อยู่หน้างาน ,Unsafe Action,Unsafe Action
โครงสร้างนั่งร้านตั้งขวางทางเดิน,,Unsafe Condition
ผู้ปฏิบัติงาน ถอดน็อต ไม่ใส่ถุงมือ,Unsafe Action,Unsafe Action
ปีนบันไดนั่งร้านขึ้นไปทาสี,Unsafe Action,Unsafe Action
ใช้งานเครื่อง gen แต่ไม่มีผู้เฝ้าระวัง,Unsafe Action,Unsafe Action
ใช้เชือก ผูกรัดกับ Stud Bolt เพื่อทำการขนย้ายขึ้นด้านบน แจ้งให้แก้ไข โดยการใช้ถุง,Unsafe Action,Unsafe Action
มีงานบนที่สูง ไม่ล้อม Barricade,Unsafe Action,Unsafe Condition
พบสัตว์มีพิษ ใกล้งานหุ้ม Insulation,Unsafe Condition,Unsafe Condition
สายไฟพาดข้ามถนนไม่มีตัวครอบสายไฟ,Unsafe Condition,Unsafe Condition
