Details,Type of finding
ไม่ตรวจสอบมาตการในข้อ6.1 ,
เปลี่ยนงาน,
ทดสอบ1,
เปิด work permit เป็นงานขนย้ายอุปกรณ์นั่งร้าน แต่การทำงานที่หน้างานจริงเป็นตั้งนั่งร้าน,HNM
JSA เป็นงานขนย้ายอุปกรณ์ ผิดประเภทของงานที่ทำอยู่  หน้างานเป็นงานตั้งร้าน,Near Miss
งานที่ทำคืองานตั้งนั่งร้าน  ไม่ตรงกับงานที่ระบุใน  work permit&JSA. ที่เป็นงานขนย้ายอุปกรณ์,Near Miss
ไม่ตรงตามลักษณะงานที่ขอไว้,
ไม่มีป้ายเตือนพื้นที่อับอากาศ ตรงช่องเปิด D942 ,Unsafe Condition
มีสภาพพื้นที่สกปรก มีขยะของวางกอง,
Test edit Finding,
"ตรวจสอบพบคู่ร่วมธุรกิจบริษัท BMC งานเชื่อม Support ผู้ช่วยช่างและ Fire Watch ไม่มี Mask ป้องกันอันตรายจากฟูมงานเชื่อม 
ผ้ากันไฟไม่สามารถป้องกันสเก็ดไฟได้มีการจับผ้ากันไฟไว้เองรับแจ้งพื้นที่ไม่อำนวย",Unsafe Condition
Safety Lead ที่ดูแลหน้างานใน Work Permit และ JSA ระบุเป็นงาน H/W Class I และ งานบนที่สูง ตรวจสอบพบ Lead งานบนที่สูงหมดอายุ ตั้งแต่ วันที่ 21/08/64,Near Miss
"ตรวจสอบพบ 
- คนงานหุ้ม Insulation ไม่มี Mask ป้องกันตราบจากฝุ่น Insulation
- คนงานที่ยาแนวโดยใช้ Silicone ไม่สวมใส่ Mask ป้องกันอันตรายจากไอกรดของ Silicone 
- ตรวจสอบใน JSA มีระบุการป้องกันอันตรายไว้เพียงแค่ผ้าปิดจมูก ",Near Miss
ตรวจสอบพบคู่ธุรกิจบริษัท MYC กำลังทำ PT-Test พบไม่สวมใส่ Mask ป้องกันไอระเหยของน้ำยา PT ได้ทำการแจ้งเตือนและขอตรวจสอบ JSA ไม่พบการประเมินงาน PT-Test ,Unsafe Condition
ตรวจสอบพบเอกสาร SE-F-0189 Rev.007 Fire Watch ไม่ลงข้อมูลในข้อ 3 (การเฝ้าระวังหลังเสร็จสิ้นการปฎิบัติงาน) ลงเพียงเวลาเริ่มงานในช่วงเช้า ไม่ลงรายระเอียด สิ้นสุดการเฝ้าระวังในช่วงเช้าและลงลายมือชื่อในช่วงเช้า (ตามรูปแนบ),Near Miss
