words,spell,correct,frequency
เเนว,['แนว'],แนว,7
เก้,['แก้'],แก้,3
เก็ด,['เก็ด'],เก็ด,3
เกต,['เกต'],เกต,3
เกตุ,['สังเกตุ'],เกตุ,2
เก็น,"['เก็บ', 'เก็บงาน', 'เก็บสี']",เก็บ,2
เก็บ,"['เก็บ', 'เก็บงาน', 'เก็บสี']",เก็บ,191
เก็บงาน,['เก็บงาน'],เก็บงาน,29
เก็บสี,['เก็บสี'],เก็บสี,2
เกร้า,['เกร้า'],เกร้า,3
เกลี่ย,['เกลี่ย'],เกลี่ย,70
เกลียว,['เกลียว'],เกลียว,10
เก่า,['เก่า'],เก่า,12
เก๊า,['เก่า'],เก่า,3
เกาะ,['เกาะ'],เกาะ,7
เกิด,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิด,25
เกิดเหตุ,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิดเหตุ,2
เกิดขึ้น,"['เกิด', 'เกิดเหตุ', 'เกิดขึ้น']",เกิดขึ้น,2
เกิน,"['เกิน', 'เกินไป']",เกิน,230
เกินไป,"['เกิน', 'เกินไป']",เกินไป,2
เกียร์,['เกียร์'],เกียร์,2
เกี่ยว,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยว,70
เกี่ยวกับ,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยวกับ,5
เกี่ยวข้อง,"['เกี่ยว', 'เกี่ยวกับ', 'เกี่ยวข้อง']",เกี่ยวข้อง,12
เกือบ,['เกือบ'],เกือบ,3
เข,['เขต'],เขต,8
เขต,['เขต'],เขต,5
เข็น,['เข็น'],เข็น,3
เข็ม,"['เข็ม', 'เข็มขัด']",เข็ม,31
เข็มขัด,"['เข็ม', 'เข็มขัด']",เข็มขัด,2
เขม่า,['เขม่า'],เขม่า,4
เขา,['เข้า'],เข้า,4
เขา,['เข่า'],เข่า,4
เข่า,['เข่า'],เข่า,4
เข่า,['เขม่า'],เขม่า,2
เข้า,"['เข้า', 'เข้าแบบ', 'เข้าใจ', 'เข้าไป']",เข้า,247
เข้าแบบ,['เข้าแบบ'],เข้าแบบ,439
เข้าใจ,['เข้าใจ'],เข้าใจ,3
เข้าไป,['เข้าไป'],เข้าไป,33
เข้ากับ,['เข้ากับ'],เข้ากับ,19
เข้างาน,['เข้างาน'],เข้างาน,12
