Orignal Words,NorvigSpellCheck,Get_Close_Match
กนอ,บน,นอก
กรณ์,กรอก,อุปกรณ์
กระบาน,กระบวน,กระบวน
กรานด์,กราวด์,กราวด์
กะ,จะ,แกะ
กับขา,กับ,กับ
กํา,ว่า,การ
กำจีัด,กำจัด,กำจัด
กิ้บล้อก,กิ๊บล็อก,กิ๊บล็อก
กิบล็อค,กิ๊บล็อก,กิ๊บล็อก
เก็ฐ,เก็บ,เก็บ
แก่ไข,แก้ไข,แก้ไข
ขนย้าน,ขนย้าย,ขนย้าย
ขนย้านถัง,ขนย้ายถัง,ขนย้ายถัง
ขนย้า่ย,ขนย้าย,ขนย้าย
ขนย้ายน,ขนย้าย,ขนย้าย
ขย้าย,ย้าย,ขอย้าย
ขัง,ฝัง,ขนถัง
ขัดน๊อต,ขัดน็อต,อัดน๊อต
ขัดสนิททาสี,ขัดสนิมทาสี,ขัดสนิมทาสี
ขัดสนิมทา,ขัดสนิม,ขัดสนิมทาสี
ขันน๊อต,ขันน็อต,ขันน็อต
ขึน,ขน,ขึ้น
ขึนไป,ขึ้นไป,ขึ้นไป
ใขควง,ไขควง,ไขควง
ครน,คาน,เครน
ครอป,ครอบ,ครอบ
ครับ,ปรับ,รับ
ควา่มสสะอาด,ควา่มสสะอาด,สะอาด
คอล์ยแอร์,คอยล์แอร์,คอยล์แอร์
เครียร์,เคลียร์,เคลียร์
เครือง,เครื่อง,เครื่อง
เครืองมือ,เครื่องมือ,เครื่องมือ
เคลีย,เกลี่ย,เคลียร์
แคปสูล,แคปซูล,แคปซูล
โครงกัน,โครงการ,โครง
งนทาสี,งานทาสี,งานทาสี
จอ,พอ,จอด
จักรถ,จักร,จักรรถ
จาระบี,จารบี,จารบี
จุุด,จุด,จุด
เจข้า,เข้า,เข้า
เจีขร,เจียร์,เจียร์
เจีย,เสีย,เจียร์
เจียร,เจียร์,เจียร์
แจาะ,เจาะ,เจาะ
ช็ค,เช็ค,เช็ค
ชนย้าย,ขนย้าย,ขนย้าย
ชำรดุ,ชำรุด,ชำรุด
เช็ก,เช็ค,เช็ค
เชค,เช็ค,เช็ค
เชื่อ,เพื่อ,เชื่อม
เชือม,เชือก,เชื่อม
เชื่อมเจีย,เชื่อมเจียร์,เชื่อมเจียร์
เชื่อมเจียใน,เชื่อมเจียร์ใน,เชื่อมเจียร์ใน
เชื่อมเจียรยก,เชื่อมเจียร์ยก,เชื่อมเจียร์ยก
เชืื่อม,เชื่อม,เชื่อม
โช่,โซ่,โซ่
ใช,ใช้,ใช้
ใชพ้,ใช้,ใช้
ซ๋อม,ซ่อม,ซ่อม
ซ่ออม,ซ่อม,ซ่อม
ซิลิโคล,ซิลิโคน,ซิลิโคน
ซุปเปอร์,ซูปเปอร์,ซูปเปอร์
ดินพพื้นที่,ดินพพื้นที่,พื้นที่
โดน,โดย,โดย
ตน,ขน,ต้น
ตรวจเช๊ค,ตรวจเช็ค,ตรวจเช็ค
ตรวจเช็ต,ตรวจเช็ค,ตรวจเช็ค
ตรวสอบ,ตรวจสอบ,ตรวจสอบ
ต่่อ,ต่อ,ต่อ
ตอดตั้ง,ติดตั้ง,ติดตั้ง
ตัง,ฝัง,ตั้ง
ตั่ง,สั่ง,แต่ง
ตั่งการ์ด,ตั้งการ์ด,ตั้งการ์ด
ตั้งตั้ง,ตั้งนั่ง,ตั้งตู้
ตั้้งนั่ง,ตั้งนั่ง,ตั้งนั่ง
ตังวาล์ว,ตั้งวาล์ว,ตั้งวาล์ว
ตัดเจียร,ตัดเจียร์,ตัดเจียร์
ตั้ดตั้ง,ติดตั้ง,ติดตั้ง
ตัน,วัน,วัน
ต้าบเกลียว,ต้านเกลียว,ต้านเกลียว
ต๊าบเกลียว,ต้านเกลียว,ต้านเกลียว
ติ้งตั้ง,ติดตั้ง,ติดตั้ง
ติดตั้,ติดตั้ง,ติดตั้ง
ติดตั่ง,ติดตั้ง,ติดตั้ง
ติดต้ั้ง,ติดตั้ง,ติดตั้ง
ติดตั้งตั้ง,ติดตั้งตู้,ติดตั้งตู้
ติดตั้งตัว,ติดตั้งตู้,ติดตั้ง
ติดตั้ัง,ติดตั้ง,ติดตั้ง
ติตั้ง,ติดตั้ง,ติดตั้ง
ตี้ง,ตั้ง,ต้อง
ตืดตั้ง,ติดตั้ง,ติดตั้ง
ตุ้,ตู้,ใต้
ตู็,ตู้,ตู้
เต้นท์,เต็นท์,เต็นท์
เตรื่อง,เครื่อง,เรื่อง
แต้ง,แต่ง,แต่ง
ถ,ถม,รถ
ถด,บด,ถาด
ถอ,พอ,ถอน
ถอก,นอก,ออก
ถ่า่ย,ถ่าย,ถ่าย
ทมูล,ทมูล,ข้อมูล
ท่อแะ,ท่อ,ท่อ
ทั้ง,ทิ้ง,รั้ง
ท้า,ทา,ท้าย
ทํา,ทา,ทา
ที,ที่,ที่
ทีม,ที่,พาทีม
น้งร้าน,นั่งร้าน,นั่งร้าน
นัง,ฝัง,ผนัง
นั่ง้,นั่ง,นั่ง
นั้ง,รั้ง,รั้ง
นั้งรัาน,นั่งร้าน,นั่งร้าน
นังร้าน,นั่งร้าน,นั่งร้าน
นั่้งร้าน,นั่งร้าน,นั่งร้าน
นั้งร้าน,นั่งร้าน,นั่งร้าน
นั่งร้าร,นั่งร้าน,นั่งร้าน
น้้า,นํ้า,หน้า
นำ้,น้ำ,นำ
น้้ำ,น้ำ,น้ำ
น้้ำมัน,น้ำมัน,น้ำมัน
นำ้ยา,น้ำยา,น้ำยา
นื้,นี้,น้ำ
นุญาต,อนุญาต,อนุญาต
บนหอ,บน,หอ
บรรทุุกปูน,บรรทุกปูน,บรรทุกปูน
ประกอป,ประกอบ,ประกอบ
ประเมิญ,ประเมิน,ประเมิน
ประเมิณ,ประเมิน,ประเมิน
ประูลูกบิด,ประลูกบิด,ประลูกบิด
ปรับดินโย,ปรับดิน,ปรับดิน
ปลั้ก,ปลั๊ก,ปลั๊ก
ปิก,ปิด,ปิด
ปืน,ปูน,ปูน
ปู,ปูน,ปูน
เปบี่ยน,เปลี่ยน,เปลี่ยน
เปลียน,เปลี่ยน,เปลี่ยน
เปลี่่ยน,เปลี่ยน,เปลี่ยน
เปลียบเทียบ,เปรียบเทียบ,เปรียบเทียบ
เปลื่ยน,เปลี่ยน,เปลี่ยน
ผลิด,ผลิต,ผิด
ผูห,ผู้,ผู้
แผน,แทน,แผ่น
พื้นทีแนว,พื้นที่แนว,พื้นที่แนว
พื้ยที่,พื้นที่,พื้นที่
พื่อ,เพื่อ,เพื่อ
พุด,จุด,สุด
พุดโอเลฟินส์,พุดโอเลฟินส์,โอเลฟินส์
เพิ่ิ่ม,เพิ่ม,เพิ่ม
เพี้ยน,เพี้ยน,เพี้ยน
เพื่ิอ,เพื่อ,เพื่อ
โพลี,โหลด,โพลีเมอร์
โฟลี,โหลด,โฟม
มา่,มาก,มา
มาบตา,มาบตา,มาบตาพุด
เมคร,เมตร,เมตร
ไมเกิน,ไม่เกิน,ไม่เกิน
ยนต์,รถยนต์,รถยนต์
ยาย,ภาย,ย้าย
ยา้ยอปุ,ยา้ยอปุ,ย้ายอุปกรณ์
รอติอดตั้ง,รอติดตั้ง,รอติดตั้ง
รอบรั่ว,รอยรั่ว,รอยรั่ว
รัด,ปัด,อัด
รั่วสูง,รั้วสูง,รั้วสูง
รา,ราว,ราว
ร้า,ร้าว,ร้าว
ราน,ราว,ร้าน
รา้น,ร้าน,ร้าน
ร่้าน,ร้าน,ร้าน
ร้านเปลี่วน,ร้านเปลี่ยน,ร้านเปลี่ยน
ร้าาน,ร้าน,ร้าน
ริ้อถอน,รื้อถอน,รื้อถอน
รื้ถอน,รื้อถอน,รื้อถอน
รื้นถอน,รื้อถอน,รื้อถอน
รื่อ,รื้อ,เรื่อง
รื้อเต้นท์,รื้อเต็นท์,รื้อเต็นท์
รื้อถแน,รื้อถอน,รื้อถอน
รื้อน,รื้อ,ร้อน
รุป,รูป,รป
โรงโรง,โรงโรง,โรง
ใร,ใบ,ใบ
วนั่ง,นั่ง,นั่ง
ววัชพืช,วัชพืช,วัชพืช
วัดควานหนา,วัดควานหนา,วัดค่า
วัดดวานหนา,วัดดวานหนา,ขัดหนัา
วาน,วัน,คว้าน
ส่,ส่ง,ใส่
สกัดปูนขา,สกัดปูน,สกัดปูน
สตารท,สตาร์ท,สตาร์ท
สตารท์,สตาร์ท,สตาร์ท
สนิด,สนิม,สนิม
สนิท,สนิม,สนิม
สภาอุตสาหกรรม,สภาอุตสาหกรรม,อุตสาหกรรม
สรับ,ปรับ,รับ
สสกัด,สกัด,สกัด
สัก,ปัก,พัก
สัญญาญ,สัญญา,สัญญา
สัญญาน,สัญญา,สัญญา
สัอาด,สะอาด,สะอาด
สาเคมี,สารเคมี,สารเคมี
สำหลับ,สำหรับ,สำหรับ
สุง,ส่ง,แสง
สุงไม่,สูงไม่,สูงไม่
สู้ง,สูง,สูง
ใส,ใบ,ใส่
หื้อ,หม้อ,ห้อง
หุ้ทฉนวน,หุ้มฉนวน,หุ้มฉนวน
หุ้น,หุ้ม,หุ้ม
หุม้,หุ้ม,หุ้ม
หุ่ม,หุ้ม,หุ้ม
หุ้ม,หุ้ม,หุ้ม
หู้ม,หุ้ม,หุ้ม
