original,words
aanalyzer,analyze
aanlyzer,analyze
aater,after
abnormal,abnormal
abrepair,repair
accept,accept
accesories,accesories
access,access
accessories,accessories
acctivated,captivated
accu,accumlator
accum,accumlator
accumlator,accumlator
accumulator,accumulation
acees,access
acess,access
acheck,check
acid,acid
acrylic,acrylic
actautor,actautor
action,action
activate,activated
activated,activated
activet,activated
activeted,activated
activets,activated
actrutor,actautor
actuator,actuated
acturtor,actautor
adapter,adapter
adaptor,adapter
add,add
adjust,adjust
adjustment,adjustment
aerator,generator
after,after
aging,aging
air,air
aircom,air compressor
aircomp,air compressor
airduct,abduct
airfin,airfins
airpuge,airpuge
airpurge,airpurge
alam,alarm
alarm,alarm
alarn,alarm
algnment,argument
algorithm,algorithm
alighment,alignment
aligment,alignment
alignment,alignment
alignmet,alignment
aliment,alignment
alingment,alignment
all,all
alrm,alarm
alum,aluminium
amp,amp
ampifly,amplify
amplifier,amplifier
analazer,analyze
analog,analog
analysis,analysis
analyzed,analyzed
analyzer,analyze
ananlyzer,analyze
and,and
andreinstall,and reinstall
ane,and
angle,angle
ann,and
annual,annual
annunciator,annunciator
ans,and
antifoam,antifoam
area,area
areapm,area
aremove,remove
arepair,repair
arm,alarm
armor,armor
array,array
as,as
asfound,found
assembly,assembly
asset,asset
at,at
ativate,activated
audit,audit
auto,auto
back,back
backet,jacket
backfill,backfill
backplate,back plate
backup,backup
baffle,baffle
bag,bag
balance,balance
ball,ball
ban,ban
banket,banket
bar,bar
base,base
based,based
bath,bath
batt,battery
battary,battery
battery,battery
beacon,beacon
beal,real
beam,beam
bearing,bearing
before,before
bellow,below
belt,belt
belts,belts
bench,bench
bend,bend
beste,best
bidding,bidding
big,big
bilnd,blind
biuff,bluff
bkine,being
black,black
blackup,backup
blade,blade
bland,blank
blank,blank
blast,blast
blasting,blasting
blind,blind
bling,being
block,block
blow,blow
blowdown,blowdown
blower,blower
bluff,bluff
bnoload,unload
board,board
body,body
boer,boiler
boier,boiler
boilc,boils
boiler,boiler
boilera,boiler
boileraflame,boiler flame
boilerbflame,boiler flame
boilercflame,boiler flame
bolk,book
bolt,bolt
bolts,bolts
bomb,bomb
bomd,bomb
boom,boom
boomlift,boomlift
booster,booster
boot,boost
booter,booster
bootleg,bottle
bord,word
bore,bore
borescop,borescope
borescope,borescope
borscope,borescope
borscore,borescope
both,both
bottol,bottle
bottom,bottom
botton,botton
bouilding,building
box,box
boxinspect,box inspect
bracket,bracket
braker,breaker
brand,brand
brane,brave
break,break
breaker,breakers
breakthough,breakthough
breakthrough,breakthrough
bream,break
breeaker,breakers
bremove,remove
breuse,breast
brick,brick
broescope,borescope
brush,brush
btop,stop
buff,buff
buffing,buffing
buffle,buffer
build,build
building,building
bulging,bulging
bund,bound
bundle,bundle
bunner,banner
burner,burned
burnerrefactory,burner factory
burnett,burned
burnner,burned
bus,bus
busduct,bus duct
busdust,bus duct
bush,bush
button,button
bypass,bypass
bypassvalve,bypass valve
cabinet,cabinet
cable,cable
cableduct,cableduct
cables,tables
cack,back
cadweld,cadweld
caertridge,cartridge
cafsule,capsule
cahnge,change
cal,calibrate
calble,cable
calcheck,calibration check
calculation,calculation
calibartion,calibration
calibation,calibration
calibeate,calibrate
calibrat,calibrate
calibrate,calibrate
calibratiom,calibration
calibration,calibration
calibrtae,calibrate
calibtation,calibration
call,calibrate
callibrate,calibrate
camp,camp
cange,change
canned,canned
caot,coat
cap,cap
capacitor,capacity
capsule,capsule
car,car
carbarier,carrier
carbinet,cabinet
carbon,carbon
carbonmonitor,carbon monitor
carburization,carburization
card,card
caribrate,calibrate
carrier,carrier
carrir,carrier
cartridge,cartridge
cartrigde,cartridge
cartrige,cartridge
cartriged,carried
cascade,cascade
case,case
casing,causing
catalyst,catalyst
cathadic,cathodic
cathodic,cathodic
catodic,cathodic
cattach,attach
caustic,caustic
cautic,caustic
cavitation,calibration
cctv,cctv
ceahek,check
cell,cell
cement,cement
cemical,chemical
cems,cement
ceramic,ceramic
chack,check
chacker,charger
chamber,chamber
chameical,chemical
chamical,chemical
champer,chamber
chanfge,change
chang,change
change,change
channel,channel
channg,change
charger,charger
chargre,charger
charmber,chamber
chceck,check
chcek,check
cheak,check
cheamicals,chemical
chec,check
checek,check
chech,check
chechemical,chemical
check,check
checkcheck,check
checkcheet,check sheet
checke,check
checked,checked
checker,checked
checkleak,check leak
checkmetor,check metor
checksheet,check sheet
checl,check
cheek,check
cheet,sheet
chek,check
chekc,check
chemacals,chemical
chemaical,chemical
chemecals,chemical
chemical,chemical
chemicals,chemical
chemicalslog,chemical log
chemiical,chemical
chenge,change
chiiler,chiller
chiller,chiller
chore,chore
chrange,change
chrck,check
ciean,clean
circular,circular
civil,civil
ckb,ckb
ckeck,check
claean,clean
claen,clean
claening,cleaning
clamp,clamp
clan,clan
clane,clane
clarifier,clarifier
class,class
classs,class
clea,clean
cleab,clean
cleal,clean
clean,clean
cleane,clean
cleaner,cleaner
cleaning,cleaning
cleaningrefill,cleaning refill
cleaninspect,clean inspect
cleanning,cleaning
cleansludge,clean sludge
clear,clean
clearn,clean
clecn,clean
cleean,clean
cler,clean
client,client
close,close
clsen,close
coalescer,coalesce
coat,coat
coating,coating
coid,coil
coil,coil
cold,coil
coldbox,coldbox
column,column
com,combustion
comapct,compact
combus,combustion
combusible,combustible
combustible,combustible
combustion,combustion
comduct,conduct
comfirm,confirm
comment,comment
commisioning,commissioning
commissioning,commissioning
commissionning,commissioning
common,common
commu,community
communicate,communicate
communication,communication
communit,community
comp,compressor
compact,compact
compcat,compact
complete,complete
comploung,compound
compound,compound
compressoor,compressor
compressor,compressor
compressore,compressor
compressur,compressor
compressure,compressor
computer,computer
comunication,communication
con,condensation
concrete,concrete
cond,condensation
condensate,condensation
condensing,condensing
condition,condition
conduc,conduct
conduct,conduct
conductivity,conductivity
conducttivity,conductivity
conduil,conduct
conduit,conduct
cone,cone
confice,confine
confiend,confined
config,confirm
configulation,configuration
configuration,configuration
configure,configure
confime,confine
confinde,confined
confine,confine
confined,confined
confirm,confirm
confirn,confirm
confitm,confirm
confrim,confirm
connect,connect
connectand,connected
connecting,connecting
connection,connection
connector,connection
connet,connect
console,console
consumption,consumption
container,container
continue,continue
contor,control
contorl,control
contort,control
contractor,contractor
control,control
controler,controller
controller,controller
conttrol,control
coolant,coolant
coolent,coolant
cooler,cooler
cooling,cooling
coolling,cooling
copper,copper
core,core
coring,coming
corosion,corrosion
corossion,corrosion
corotion,corrosion
corridor,corridor
corroion,coercion
corrosion,corrosive
corrotion,corrosion
counter,counter
counting,counting
coupling,coupling
coupon,coupling
coupong,coupling
couter,counter
cover,cover
coverbottom,cover bottom
coverchannel,cover channel
coverspool,cover pool
cpact,part
crack,crack
craft,craft
cramp,cramp
crane,crane
criteria ,criterion
critical,critical
cross,cross
crosshead,cross head
crossover,crossover
cse,case
ctu,cut
cuastic,caustic
cui,cut
cuppling,coupling
current,current
currnet,current
curtain,curtain
cut,cut
cuting,cutting
cutting,cutting
cuurent,current
cyclo,cycle
cylinder,cylinder
daily,daily
dain,drain
dainamic,dynamic
daiphram,diaphragm
dairn,daily
damage,damage
damper,damper
dampet,damper
data,data
database,database
datalogger,data logger
date,date
decoke,decoke
delay,delay
delete,delete
deluge,deluge
demin,demolish
deminc,demolish
demo,demo
demoilish,demolish
demolise,demolish
demolish,demolish
demon,demolish
denim,demolish
denka,demolish
density,density
deploy,deploy
description,description
detactor,detector
detecter,detected
detector,detector
detertor,detector
devation,deviation
deviat,deviation
deviate,deviation
deviation,deviation
device,device
devition,deviation
diameter,diameter
diapharm,diaphragm
diaphragm,diaphragm
didplay,display
diesel,diesel
digital,digital
dike,like
dimension,dimension
disassemble,disassemble
disassembly,disassembly
disc,disc
dischange,discharge
discharge,discharge
disconet,disconnect
disconnect,disconnect
disconnection,disconnection
disel,diesel
disk,disk
display,display
dissimilar,dissimilar
dissolve,dissolve
distibution,distribution
distrib,disturb
distribution,distribution
diversion,diversion
divertor,divertor
dointag,doing tag
dome,domestic
domen,dimension
domestic,domestic
donwload,download
doom,doom
door,door
double,double
down,down
download,download
dowt,down
draen,drain
draft,draft
drain,drain
draine,drain
dram,drain
dran,drain
drawing,drawing
drian,drain
drier,driver
drift,drift
driinig,driving
drike,drive
driling,driving
drilling,drilling
drip,drip
driver,driver
drone,drone
drop,drop
drum,drum
dry,dry
drypolymer,dry polymer
duct,duct
duluge,deluge
dum,dummy
dummy,dummy
during,during
dynamic,dynamic
earth,earth
earthleakage,earth leakage
earthleakge,earth leakage
eater,later
ejector,ejector
elbow,elbow
elctor,elector
electro,elector
electronic,electronic
element,element
eletronic,electronic
em,emergency
emer,ever
emergency,emergency
emulsion,emulsion
end,end
energize,energize
engine,engine
engineer,engineer
epoxi,epoxi
eqiupment,equipment
equipment,equipment
eror,error
error,error
ethane,ethane
ethylene,ethylene
event,event
excess,excess
exchanger,exchanger
exchangers,exchanger
exhaust,exhaust
exit,exit
exitlight,exitlight
expand,expand
expansion,expansion
expantion,expansion
expation,expansion
