words,frequency
เกลียว,1
เกียร์,1
เครน,1
เคลื่อน,1
เจ้าหน้าที่,1
เชื่อม,1
เชื่อมซ่อม,1
เดินท่อ,1
เดิม,1
เบลี่ยน,1
เบอร์,1
เปลี่ยนแอร์,1
เป่า,1
เผา,1
เสริม,1
เสียดสี,1
เอียง,1
แตก,1
แต่งดิน,1
แต่งปูน,1
แท่ง,1
แนวท้า,1
แบต,1
แพลตฟอร์ม,1
แมลง,1
แรก,1
แอร์ใน,1
แอร์ตู้,1
แอร์รั่ว,1
โทรศัพท์,1
โลโก้,1
โหลดเคมี,1
โอเลฟินส์,1
ไดอะเฟรม,1
ไล่,1
กรอก,1
กระตุก,1
กระปุก,1
กอง,1
กั้น,1
กันแดด,1
กางเครน,1
การ์ดเพาเวอร์,1
กุญแจ,1
ข้น,1
ขนตู้,1
ขนถัง,1
ขนปูน,1
ขบวนการ,1
ขยับ,1
ขอย้าย,1
คณะกรรมการ,1
ครอบ,1
ครอบราง,1
ครั้ง,1
คอยล์,1
คอร์ริ่ง,1
คัดเลือก,1
คาด,1
คาดเคลื่อน,1
คาร์บอน,1
จดมิเตอร์,1
จักรย้าย,1
จักรรถ,1
จัดเก็บ,1
จารบี,1
จำกัด,1
จำนวน,1
จี้,1
จุดเตา,1
จุดตั้ง,1
จุดที่,1
จุดวาง,1
ชม,1
ช่วยเหลือ,1
ชัน,1
ชั่วคราว,1
ซ่อมเครน,1
ซ่อมแซม,1
ซ่อมแอร์,1
ซ่อมแอร์รั่ว,1
ซ่อมก้านวาล์ว,1
ซ่อมคาน,1
ซ่อมบ่อ,1
ซ่อมบาน,1
ซ่อมปิด,1
ซ่อมปูน,1
ซูปเปอร์,1
ดอก,1
ดินสไลด์,1
ตกค้าง,1
ตรวจการณ์,1
ตักหิน,1
ตั้งเต้า,1
ตั้งการ์ด,1
ต้านทาน,1
ติดตั้ง,1
ติดตั้ง,1
ติดตั้งมอเตอร์,1
ตู้,1
ตู้ไฟ,1
ถนนหลัง,1
ถอดไป,1
ถอดท่อ,1
ถอดมิเตอร์,1
ถังน้ำมัน,1
ทดแทน,1
ทองแดง,1
ที่รั่ว,1
น้ำหนัก,1
น้ำหยด,1
นิ้ว,1
