FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
4,PP1,-,-,Unsafe Condition,Work Procedure,"ตรวจสอบพบการล้อมพื้นที่ Generator มีการล้อมพื้นที่เรียบร้อยมีทางเข้า-ออก ชัดเจน พบไม่ติด TAG BARRICADE ",Welding Cutting Support E-201A/B,Welding Cutting Support E-201A/B,1,ตรวจสอบพบล้อมพื้นที่ generator มีการการล้อมพื้นที่เรียบร้อยมี ทางเข้า ออก ชัดเจนพบไม่ ติด tagbarricade,"The generator area was found to be completely enclosed with clear entrances and exits, and no tagbarricade was found."
9,LLDPE,-,-,Unsafe Condition,CSE,ตรวจสอบพบ Work Permit หัวข้อที่ 2 กำหนดตรวจสอบงานโดยผู้ขออนุญาตทุกๆ 1 ช.ม พบหัวข้อที่ 4 ขาดการตรวจสอบหน้างานและลงข้อมูลใน Work Permit,"Manual Clean F-810,F809 ","Manual Clean F-810,F809",16,"ตรวจสอบพบ work permit หัวข้อที่ กำหนดตรวจสอบงานโดยผู้ขออนุญาตทุก ๆ ชม พบหัวข้อที่ ขาดตรวจสอบหน้างาน , ลงข้อมูลใน work permit","Check found work permit topics that determine work inspection by the applicant every hour. Found topics that are missing, inspect the work site, enter information in the work permit."
12,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบ Regulator ขาดการตรวจสอบและติดสติกเกอร์ และ ป้ายแสดงงาน H/W Class I Size ไม่ตรงตามข้อกำหนด พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้,Welding Cutting Pipe Support,Welding Cutting Pipe Support,3,"ตรวจสอบพบ regulator ขาดตรวจสอบ , ติดสติ๊กเกอร์ , แสดงงาน , class size ไม่ตรงตามข้อกำหนด พบตู้เชื่อมอยู่ในสภาพไม่พร้อมใช้งาน สายไฟหลุดออกจากตู้","The regulator was found to be lacking inspectors, putting stickers on, displaying work, and class size did not meet the requirements. The welding cabinet was found to be in an unusable condition. The wires fell out of the cabinet."
13,Catalyst&Pilot plant,-,-,Unsafe Condition,Housekeeping,"ตรวจสอบเอกสาร Work Permit พบมีงาน Lifting เอกสาร Safe Work Certificate แนบแต่ไม่ติ๊กข้อมูลใน Work Permit ",ถอดประกอบ Chemical Cleaning,Disassemble Chemical Cleaning,9,ตรวจสอบเอกสาร work permit พบมีงาน lifting เอกสาร safe work certificate แนบแต่ไม่ติ๊กข้อมูลใน work permit,"Check work permit documents, found lifting work, safe work certificate documents attached but unchecked information in work permit"
18,HDPE1,-,-,Unsafe Condition,Housekeeping,ตรวจสอบ Work Permit เอกสารแนบงานที่เกี่ยวกับแรงดันสูง,ถอดประกอบ Exchanger E-224,Disassemble Exchanger E-224,2,"ตรวจสอบ work permit เอกสารแนบงานที่เกี่ยว , แรงดันสูง","Check work permit, related work attachments, high pressure"
21,HDPE3,-,-,-,-,ประเมินไม่ครอบคลุม,งานรื้อนั่งร้าน,Scaffolding work,1,ประเมินไม่ครอบคลุม,Assessment does not cover
21,HDPE3,-,-,-,-,ประเมินไม่ครอบคลุม,ขนเศษเหล็กขเศษอลูมิเนียม,Scrap metal b scrap aluminum,1,ประเมินไม่ครอบคลุม,Assessment does not cover
22,HDPE3,-,-,Unsafe Condition,-,ตรวจสอบไม่พบเอกสาร WAH,ขนเศษเหล็กขเศษอลูมิเนียม,Scrap metal b scrap aluminum,5,ตรวจสอบไม่พบเอกสาร wah,Check wah document not found
27,HDPE4,-,-,Unsafe Condition,-,"ผู้ขออนุญาตไม่ได้ระบุ PPE ป้องกันการตก บนwork permit ",Install scaffolding,Install scaffolding,3,ผู้ขออนุญาตไม่ได้ระบุ ppe ป้องกันwork permitตก บนwork permit,The applicant does not specify PPE to prevent the work permit from falling on the work permit.
28,Warehouse Site10,-,-,Unsafe Condition,Work at height,ผู้วิเคราะห์ JSA ไม่ได้เช็คผลกระทบจากขั้นตอนการทำงาน ลักษณะงานที่ทำ และอันตรายที่จะเกิดขึ้น,ซ่อมหลังคา WH10,Roof repair WH10,1,"ผู้วิเคราะห์ jsa ไม่ได้เช็คผลกระทบจากขั้นตอนการทำงาน ลักษณะงานที่ทำ , อันตรายที่จะเกิดขึ้น","The jsa analyst doesn't check the impact of the workflow. The nature of the work done, the dangers that will occur"
30,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ตรวจสอบพบ Line Chemical Cleaning อยู่บนพื้นหินมีผ้าใบรองแต่ไม่บันป้องกันการรั่วไหล,Chemical Cleaning,Chemical Cleaning,1,ตรวจสอบพบ line chemical cleaning อยู่บนพื้นหินมีผ้าใบรองแต่ไม่บันป้องกันรั่วไหล,The chemical cleaning line was found on the rocky floor with a tarp but not preventing the leakage.
33,Blownfilm,-,-,Unsafe Condition,-,JSA ประเมินไม่ครอบคลุม และ ลงข้อมูลไม่สอดคล้องกับเอกสารที่กำหนด,งานเปลี่ยน Roller Line-F,Changing Roller Line-F,27,"jsa ประเมินไม่ครอบคลุม , ลงข้อมูลไม่สอดคล้อง , เอกสารที่กำหนด","jsa not comprehensive evaluation , data inconsistency , documentation required"
35,Blownfilm,-,-,Unsafe Condition,-,มีการตักแยกแต่ไม่พบเอกสาร,งานเปลี่ยน Roller Line-F,Changing Roller Line-F,1,มีตักแยกแต่ไม่พบเอกสาร,"There is a separate lap, but no documents found."
37,PP1,-,-,Unsafe Condition,Lifting,Field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ JSA talk,ถอด Valve overhaul,Remove valve overhaul,1,field verify ลงชื่อล่วงหน้าก่อนที่จะทำการ jsa talk,field verify pre-sign before jsa talk
38,PP2,-,-,Unsafe Condition,-,"ตรวจสอบ JSA พบหัวข้อที่ 8 พบมีการปฏิบัติงานแต่ไม่พบการลงชื่อรับทราบใน JSA ",Change Die Plate,Change Die Plate,26,ตรวจสอบ jsa พบหัวข้อที่ พบมีปฏิบัติงานแต่ไม่พบการการลงชื่อใน รับทราบjsa,inspect jsa found topic found has work but no signing found in acknowledge jsa
40,PP3,-,-,Unsafe Condition,-,"ผู้ขออนุญาตไม่ระบุชนิดPPE ป้องกันหายใจที่ชัดเจน กับลักษณะงานที่ทำ เรื่องประเมินความเสี่ยงการทำงานกับน้ำยา PT ซึ่งเป็นสารเคมี ",Inspection Silo TK-3832X,Inspection Silo TK-3832X,10,"ผู้ขออนุญาตไม่ระบุชนิดppe ป้องกันหายใจที่ชัดเจน , ลักษณะงานที่ทำ เรื่องประเมินความเสี่ยงการทำงาน , น้ำยา ptw ซึ่งเป็นสารเคมี","The applicant does not specify the type of ppe. Clear breathing protection , the nature of work done Work risk assessment, ptw reagent, which is a chemical"
45,CPD Pipe Site3,-,-,Unsafe Condition,Tools & Equipment," พบไม่มีการตรวจสอบหน้างาน ในเอกสาร JSA",ตรวจเช็คแก้ไข Sight Glass Blower Qim,"Check, Fix, Sight Glass Blower Qim",19,พบไม่มีตรวจสอบหน้างาน ในเอกสาร jsa,Found no check page in jsa document.
46,Catalyst&Pilot plant,-,-,Unsafe Condition,-,"ไม่ลงข้อมูลเวลาในช่อง JSA talk ",งานตั้งนั่งร้าน,scaffolding,1,ไม่ลงข้อมูลเวลาในช่อง jsa talk,not posting time in jsa talk field
50,Bagging Site3,-,-,Unsafe Condition,Water jet,ตรวจสอบเอกสาร JSA พบว่าต้องมีการ Lock LOTO แต่หน้า Work Permit ไม่พยการลงข้อมูลการ Lock LOTO,งาน PM 1 M,PM 1 M event,31,ตรวจสอบเอกสาร jsa พบว่าต้องมีพย lock loto แต่หน้า work permit ไม่ลงข้อมูลการการ lock loto,"Check the jsa documents, found that there must be a lock loto, but the work permit page does not post the lock loto information."
51,Bagging Site3,-,-,-,Water jet,ไม่พบเอกสาร,งาน PM 1 M,PM 1 M event,1,ไม่พบเอกสาร,Document not found
51,Bagging Site3,-,-,-,Water jet,ไม่พบเอกสาร,งาน PM 1 M,PM 1 M event,1,ไม่พบเอกสาร,Document not found
51,Bagging Site3,-,-,-,Water jet,ไม่พบเอกสาร,งาน PM 1 M,PM 1 M event,1,ไม่พบเอกสาร,Document not found
54,Bagging Site3,-,-,Unsafe Condition,Water jet,ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,งาน PM 1 M,PM 1 M event,1,ทราบแต่ไม่ได้ปฏิบัติตามมาตรการที่กำหนด,known but did not comply with the specified measures
55,HDPE4,-,-,Unsafe Condition,Work Procedure,"ขณะปฏิบัติงานบนที่สูง ผู้ปฏิบัติสวมใส่อุปกรณ์ป้องกันการตก และคล้องเกี่ยวตลอดเวลาที่มีการปฏิบัติงาน แต่เอกสารไม่ update ยังเป็นเอกสารเก่า ",ขนย้ายนั่งร้าน ตั้งนั่งร้าน,"Moving scaffolding, setting up scaffolding",1,"ขณะปฏิบัติงานบนที่สูง ผู้ปฏิบัติสวมใส่อุปกรณ์ป้องกัน ตก , คล้องเกี่ยวตลอดเวลาที่มีปฏิบัติงาน แต่เอกสารไม่ update ยังเป็นเอกสารเก่า","while working at height Operators wear protective equipment from falling, leashing all the time while working, but the document is not updated. It is still an old document."
56,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาตระบุ safe work cer.Hot work แต่ไม่มีงาน Hot work class I  และไม่ระบุsafe work cer. Lifing Plan และไม่ระบุอุปกรณ์ป้องกันการตก แต่มีการทำงานบนที่สูง,ยกขนย้าย Melt,Melt Transfer Lifter,1,"ผู้ขออนุญาตระบุ safe work cern.hot work แต่ไม่มีงาน hot work class , ไม่ระบุsafe work cern. lifting plan , ไม่ระบุอุปกรณ์ป้องกันตก แต่มีการทำงานบนที่สูง","Applicant specifies safe work cern.hot work but no hot work class, does not specify safe work cern. lifting plan, does not specify fall protection equipment but working at height"
57,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาต ไม่ประเมินความเสี่ยงเรื่องการทำงานยก และการทำงานบนที่สูง,ยกขนย้าย Melt,Melt Transfer Lifter,7,"ผู้ขออนุญาต ไม่ประเมินความเสี่ยงเรื่องการทำงานยก , การทำงานบนที่สูง","The applicant does not assess the risk of lifting work, working at height."
59,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบเอกสาร Safe Work Certificate SE-F-0286_Rev.002 พบมีการปฏิบัติงานแต่ขาดการตรวจสอบลงข้อมูล,Welding Cutting Pipe Support,Welding Cutting Pipe Support,44,ตรวจสอบเอกสาร safe work certificate _revamp.พบมีปฏิบัติงานขาดแต่การการตรวจสอบลงข้อมูล,"Check the document safe work certificate _revamp. found that there is a lack of work, but the data verification"
60,Pilot plant complex,-,-,Unsafe Condition,SL Performance,ไม่ประเมินการตัดแยกระบบ และการทำงานใกล้ source รังสี,ถอด safety valve,remove safety valve,1,"ไม่ประเมิน ตัดแยกระบบ , การทำงานใกล้ sopure รังสี","Do not assess system isolation , working near sopure radiation"
65,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบผู้ปฏิบัติงานบนที่สูงพบไม่คล้องเกี่ยวขณะปฏิบัติงาน,Welding Cutting Pipe Support,Welding Cutting Pipe Support,36,ตรวจสอบพบผู้ปฏิบัติงานบนที่สูงพบไม่คล้องเกี่ยวขณะปฏิบัติงาน,Check that the worker at height was found to be unrelated while working.
66,Catalyst&Pilot plant,-,-,Unsafe Condition,Water jet,"ตรวจสอบพบ Regulator ใช้งานอยู่ พบยังไม่ได้รับการตรวจสอบออกสติกเกอร์ ",Welding Cutting Pipe Support C1-UNICAT,Welding Cutting Pipe Support C1-UNICAT,6,ตรวจสอบพบ regulator ใช้งานอยู่ พบยังไม่ได้รับตรวจสอบออกสติ๊กเกอร์,The regulator is found to be in use. The sticker has not been checked.
68,PP1,-,-,Unsafe Condition,-,มีกองนั่งร้านวางอยู่ตรงจุดที่ยืนปฏิบัติงาน ซึ่งเมื่อขึ้นไปยืนอาจทำใหลื่นล้มได่ ( ไม่ได้ประเมินอันตรายพื้นที่ปฏิบัติงาน )และไม่ได้ลงข้อมูลตรวจสอบมาตรการป้องกันความปลอดภัย,Loose bolt D-203,Loose bolt D-203,21,"มีกองนั่งร้านวางอยู่ตรงจุดที่ยืนปฏิบัติงาน ซึ่งเมื่อขึ้นไปยืนอาจทำให้ลื่นล้มได ไม่ได้ประเมินอันตรายพื้นที่ปฏิบัติงาน , ไม่ได้ลงข้อมูลตรวจสอบมาตรการป้องกันความปลอดภัย","There is a pile of scaffolding placed at the point where the worker stands. which when standing up may cause slipping and falling Did not assess the danger of the work area, did not check the safety measures"
69,Ware house Site7,-,-,Unsafe Condition,Process & Operation,Field Verifier ไม่ใช่โฟร์แมน รับรองความปลอดภัยที่หน้างาน HW class I,งานซ่อม Dock leveler,Dock leveler repair work,1,field verifyfiber ไม่ใช่โฟม รับรองความปลอดภัยที่หน้างาน show class pi,"field verifyfiber, not foam, certify safety at the job site show class pi"
70,PP2,-,-,Unsafe Condition,-,ตรวจสอบพบรถ HIAB ทำการยกก้อนพลาสติกพบการกางขาเพื่อค้ำยัน Balance ตัวรถไม่กางขาครบทั้งข้าง อันตราย,ขนก้อนพลาสติก,plastic ball,1,"ตรวจสอบพบรถ hiab ทำการยกกอนพลาสติกพบกางข้าง , ค้ำยัน balance ตัวรถไม่กางข้างครบทั้งข้าง อันตราย","Found a hiab car, lifted before the plastic, found a side spread, braced the balance, the car does not spread on both sides, dangerous."
72,PP2,-,-,Unsafe Condition,Pressure test,"ตรวจสอบพบ MASK ไม่พร้อมใช้งานลิ้นวาล์วหายทั้ง 2 ข้างและตลับ MASK ไม่ระบุวันใช้งาน (ไม่อนุญาตให้ใช้งาน)
และตรวจสอบพบไฟติดหมวกยังไม่ผ่านการตรวจสอบ ",Clean PT Test Silo TK-2505 H,Clean PT Test Silo TK-2505 H,3,"ตรวจสอบพบ mask ไม่พร้อมใช้งานชิ้นวาล์วหายทั้ง ข้าง , หลับ mask ไม่ระบุวันใช้งาน ไม่อนุญาตให้ใช้งาน , ตรวจสอบพบไฟติดหมวกยังไม่ตรวจสอบ","Checked that the mask was not available, the valve pieces were missing on both sides, the mask was asleep, the date of use was not specified. not allowed to use"
73,PP1,-,-,Unsafe Condition,PPE,"เพิ่มเติมการปฏิบัติงานบริเวณชั้นบนที่มีช่องเปิด ที่มีโอกาสสิ่งของจะตกหล่นใส่ผู้ปฏิบัติงานที่อยู่ชั้นล่าง ",ขัดสนิมท่อ line brine เพื่อเตรียมทาสี,Scrub the line brine pipes to prepare for painting.,1,เพิ่มเติมสิ่งปฏิบัติงานบริเวณชั้นในที่มีช่องเปิด ที่โอกาสส่งของจะตกหล่นใส่ผู้ปฏิบัติงานที่อยู่ชั้นล่าง,Additional work area in the inner area with openings at the chance that the delivery will fall on the worker downstairs
74,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบพบผู้ปฏิบัติงานไม่สวมใส่ MASK ป้องกันอันตรายจากฟูมงานเชื่อม,Welding Cutting Pipe Support,Welding Cutting Pipe Support,7,ตรวจสอบพบผู้ปฏิบัติงานไม่สวมใส่ mask ป้องกันอันตรายจากโฟมงานเชื่อม,It was found that the operator did not wear a mask to prevent danger from welding foam.
75,HDPE2,-,-,Unsafe Condition,Water jet,ประเมิน JSA ไม่ครอบคลุม  มีการลงไปทำงานใต้พื้น Floor และ ทำในตู้ Control แต่ไม่มีการประเมินถึงอันตราย และ มาตรการป้องกัน,งาน Splice  หัวสาย Fiber Optic,Fiber Optic Splice work,35,"ประเมิน jsa ไม่ครอบคลุม มี ลงไปทำงานใต้พื้น floor , ทำในตู้ control แต่ไม่มีการประเมินถึงอันตราย , มาตรการป้องกัน","The jsa assessment is not comprehensive, there is work under the floor, in the control cabinet, but there is no hazard assessment, preventive measures."
76,Pilot plant complex,-,-,Unsafe Condition,Housekeeping,"ตรวจสอบ การระบุข้อมูลต่างๆลงในใบอนุญาตทำงานไม่ครบถ้วน  ห้างานมีงานขุดดิน เพื่อวางสายกราวด์ มีใบ Cer , JSA .งานขุด แต่ในwork permit ข้อ 1.4 ยังไม่ได้ระบุว่ามีงานขุด",เจาะ ติดตั้ง support,"Drill, install support",6,"ตรวจสอบ ระบุข้อมูลต่าง ๆลงในใบอนุญาตทำงานไม่ครบถ้วน หน้างานมีงานขุดดิน , วางสายกราวด์ มีใบ cern , jsa .งานขุด แต่ในwork permit ข้อ 1.4 ยังไม่ได้ระบุว่ามีงานขุด","Check specify information incomplete work permit In front of the job, there is soil excavation work, ground wire laying, there is a cern, jsa certificate, excavation work, but in the work permit item 1.4 has not yet indicated that there is an excavation work."
