FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Frequency,CleansingFinding,TranslateFinding
3,Catalyst&Pilot plant,-,-,Unsafe Condition,PPE,"ตรวจสอบพบ ข้อ1.1 Permit Requester ลงชื่อนายก่อเกียรติ (ผู้ขออนุญาต) ไม่ได้เข้าทำงาน
ข้อ 3 Permit Requester ลงชื่อนายดำรงเกียรติ ในการขอเปิดงาน 
เอกสาร Safe Work Certificate และ JSA ในเอกสารลงชื่อนายก่อเกียรติ ผู้ขออนุญาต เพราะเอกสาร Safe Work Checklist จะต้องมีการตรวจสอบที่หน้างานก่อนเริ่มทำงานเพื่อความปลอดภัย คนที่ลงชื่อไว้ไม่ได้เข้ามาทำงาน",8,"ตรวจสอบพบ ข้อ1.1 permit requester ลงชื่อนายก่อเกียรติ ผู้ขออนุญาต ไม่ได้เข้าทำงาน
ข้อ 3 permit requester ลงชื่อนายดำรงเกียรติ ในการขอเปิดงาน 
เอกสาร safe work certificate และ jsa ในเอกสารลงชื่อนายก่อเกียรติ ผู้ขออนุญาต เพราะเอกสาร safe work checklist จะต้องมีการตรวจสอบที่หน้างานก่อนเริ่มทำงานเพื่อความปลอดภัย คนที่ลงชื่อไว้ไม่ได้เข้ามาทำงาน","Check found item 1.1 permit requester signed by Mr. Korkiat, the requester did not go to work
Item 3 permit requester signed by Mr. Damrongkiat in applying for a job opening
The safe work certificate and jsa documents in the documents are signed by Mr. Korkiat, the applicant because the safe work checklist documents must be checked at the job site before starting work for safety. The person who signed it did not come to work."
426,GA Site1,-,-,Unsafe Condition,-,ไม่มีการประเมินความเสี่ยงผู้ที่ลงไปปฏิบัติงานในหลุมที่ขุด,3,ไม่มีการประเมินความเสี่ยงผู้ที่ลงไปปฏิบัติงานในหลุมที่ขุด,There is no risk assessment for those working in the excavated pits.
1107,Olefins2,"PR-12, PR-24",TTCL,Unsafe Condition,Work Procedure,พบเครื่องกำเนิดไฟฟ้ายังไม่ผ่านการตรวจสภาพที่หน้างาน,14,พบเครื่องกำเนิดไฟฟ้ายังไม่ผ่านการตรวจสภาพที่หน้างาน,Found that the generator has not passed the inspection at the site.
493,PP2,-,-,Unsafe Condition,PPE,ตรวจสอบ Work Permit พบมีการทำงานบนที่สูงแต่ไม่ติ๊กข้อมูลลงใน Work Permit หัวข้อ 1.4 งานบนที่สูงแต่พบเอกสาร Safe Work Certificate แนบ,80,ตรวจสอบ work permit พบมีการทำงานบนที่สูงแต่ไม่ติ๊กข้อมูลลงใน work permit หัวข้อ 1.4 งานบนที่สูงแต่พบเอกสาร safe work certificate แนบ,"Check the work permit, found work at height but no information ticked in the work permit section 1.4 work at height but found the attached safe work certificate"
802,Catalyst&Pilot plant,-,-,Unsafe Condition,-,ตรวจสอบพบ MASK ที่ใช้งาน หมดอายุ (ตามรูปแนบ) ปี 2015 MASK มีอายุ 7 ปี (MASK หมดอายุการใช้งาน 5 ปี และสภาพชำรุด),9,ตรวจสอบพบ mask ที่ใช้งาน หมดอายุ ตามรูปแนบ ปี 2015 mask มีอายุ 7 ปี mask หมดอายุการใช้งาน 5 ปี และสภาพชำรุด,"Inspected and found a mask that is used, expired, as in the attached picture, year 2015, mask is 7 years old, mask expires 5 years and is damaged"
489,PP2,-,-,Unsafe Condition,PTW & JSA,ตรวจสอบเอกสาร Safe Work Certificate งานบนที่สูงไม่พบการตรวจสอบและลงข้อมูล,9,ตรวจสอบเอกสาร safe work certificate งานบนที่สูงไม่พบการตรวจสอบและลงข้อมูล,Examine safe work certificate documents. Work at height does not find inspection and data entry.
593,PP1,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ JSA ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,37,ตรวจสอบ jsa ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,"Check jsa, no work height risk assessment found."
856,Catalyst&Pilot plant,-,-,Unsafe Condition,Work Procedure,ตรวจสอบเอกสาร Work Permit พบหัวข้อที่ 4 พบ Permit Requester ไม่ตรวจสอบหน้างานและลงข้อมูลตรวจสอบ,17,ตรวจสอบเอกสาร work permit พบหัวข้อที่ 4 พบ permit requester ไม่ตรวจสอบหน้างานและลงข้อมูลตรวจสอบ,"Examine the work permit document, found item 4, found the permit requester, did not inspect the work site and entered the verification information."
830,HDPE3,-,-,Unsafe Condition,-,ตรวจสอบไม่พบเอกสารบันทึกผลการตรวจร่างกายผู้ปฎิบัติงานเบื้องต้นก่อนเริ่มงาน,11,ตรวจสอบไม่พบเอกสารบันทึกผลการตรวจร่างกายผู้ปฎิบัติงานเบื้องต้นก่อนเริ่มงาน,Check that there is no document recording the results of the preliminary physical examination of the operators before starting work.
716,PP1,-,-,Unsafe Condition,PPE,ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน Grinder 4 นิ้ว ไม่ใส่ Handle (ตามรูปแนบ),10,ตรวจสอบพบงานเจียร์พบคู่ร่วมธุรกิจกำลังใช้งาน grinder 4 นิ้ว ไม่ใส่ handle ตามรูปแนบ,Checked and found grinding work. Found a business partner using a 4 inch grinder without the handle as shown in the attached picture.
