No.,Company,Area,Sub Area,Reportor,Contractor,Type of finding,Topic,Details,Corrective Action,Issue Date,Due Date,Status
1,MOC,Olefins2,PR-24,Orachun S.,SR,Unsafe Condition,Scaffolding,นั่งร้านมีสภาพไม่สมบูรณ์ ไม่มีราวกันตก,,1/1/2021,1/1/2021,Closed
2,MOC,Olefins2,PR-24,Orachun S.,SR,Unsafe Condition,Work at height,ใช้บันไดวางพาดเพื่อใช้ปฏิบัติงาน,,1/1/2021,1/1/2021,Closed
3,MOC,Olefins2,PR-17,Orachun S.,TTCL,Unsafe Action,Work at height,ผู้ปฏิบัติงานทาสีบนนั่งร้านโดยไม่คล้องเกี่ยว Safety Harness,,1/1/2021,1/1/2021,Closed
4,MOC,Olefins2,PR-17,Orachun S.,ATI-LT,Unsafe Condition,Scaffolding,Tag นั่งร้านหมดอายุ ยังไม่ได้ Re-inspect,,1/1/2021,1/1/2021,Closed
5,MOC,Olefins2,Heater,Orachun S.,TTCL,Unsafe Action,PPE,ผู้ปฏิบัติงานยก Rotor ID Fan ไม่สวมใส่แว่นตา (แจ้งว่าเหงื่อเข้าตา เช็ดหน้าแล้วลืมใส่),,1/2/2021,1/2/2021,Closed
6,MOC,Olefins2,Heater,Orachun S.,TTCL,Unsafe Condition,Lifting,งานยก Rotor ID Fan ไม่มีผ้ารองกันบาด สลิงผ้าใบ,,1/2/2021,1/2/2021,Closed
7,MOC,Olefins2,PR-17,Orachun S.,TTCL,Unsafe Condition,Housekeeping,สายไฟวางพาด กีดขวางทางเดิน,,1/2/2021,1/2/2021,Closed
8,MOC,Olefins2,PR-24,Orachun S.,KBL,Unsafe Condition,PPE,หน้ากากเชื่อมอยู่ในสภาพชำรุด,,1/2/2021,1/2/2021,Closed
9,MOC,Olefins2,Heater,Orachun S.,NIPPON,Unsafe Action,Work at height,งานยก Rotor ID Fan ไม่คล้องเกี่ยว Safety Harness,,1/2/2021,1/2/2021,Closed
10,MOC,Olefins2,F-S2400,Orachun S.,TTCL,Unsafe Condition,Housekeeping,กองอุปกรณ์นั่งร้านทิ้งไว้ ไม่ได้จัดเก็บและไม่ได้ปิดล้อมพื้นที่,,1/3/2021,1/3/2021,Closed
11,MOC,Olefins2,PR-14,Orachun S.,RMS,Unsafe Condition,Installation/ Alignment,ข้อต่อ Coupling (งานกลึงหน้าแปลน) ใช้ลวดเส้นเล็กเป็นสลัก ไม่เป็นไปตามมาตรฐานที่กำหนด,,1/4/2021,1/4/2021,Closed
12,MOC,Olefins2,PR-14,Orachun S.,RMS,Unsafe Condition,Installation/ Alignment,ข้อต่อ Coupling (งานกลึงหน้าแปลน) ไม่มีเทป double protection,,1/4/2021,1/4/2021,Closed
