Tag Name,Tag Description,Tag Type,ABC Class,PSM Critical,Unit
CM-835B,CM-835B GHU-2 RECYCLE GAS COMPRESSORS,MOTOR,A,,
CM-2051B,MOTOR FOR C-2051B,MOTOR,B,,
CM-2051C,MOTOR FOR C-2051C,MOTOR,B,,
CM-3301A,MOTOR FOR C-3301A,MOTOR,C,,
PM-3010A,MOTOR FOR P-3010 A,MOTOR,B,,
PM-3071A,MOTOR FOR P-3071 A,MOTOR,B,,
PM-3076A,MOTOR FOR P-3076 A,MOTOR,C,,
PM-3081B,MOTOR FOR P-3081 B,MOTOR,B,,
PM-3300B,MOTOR FOR P-3300 B,MOTOR,B,,
XM-3300B,MOTOR FOR X-3300B,MOTOR,B,,
MCC-EM-850A,DEOCTANIZER CONDENSER MCC,MCC,A,,
MCC-PM-850B,DEOCTANIZER REFLUX PUPMS MCC,MCC,A,,
MCC-PM-866B,EDC BOTTOM PUMPS MCC,MCC,B,,
ARU-BD,ARU LV BUSDUCT FOR PM INSPT,BUS DUCT,A,,
ARU-MV-GP,ARU MV SWGR FOR PM INSPT,MV SWGR,A,,
A-TR-01,ARU DISTRIBUTION TR-01,DISTRIBUTION TRANSFORMER,A,,
CCB-AIR FILTER,AIR FILTER CBB Building,HVAC,B,,
CFU-INT,CFU INTERCOM,INTERCOM,B,,
CM-2400J,MOTOR FOR C-2400 J,MOTOR,B,,
C-PB1A,OCU  LT PANEL,PANEL BOARD,B,,
C-PB2C,OCU  LT PANEL FAR-3,PANEL BOARD,B,,
CP-EM-711,Treater Regen Heater control panel,ELECTRIC HEATER,B,,
CTU-2210-WO,WELDING OUTLET IN CONDENSATE AREA,RECEPTACLE,C,,
CTU-BD,CTU LV BUSDUCT FOR PM INSPT,BUS DUCT,A,,
CTU-FA,CTU FIRE ALARM,FIRE ALARM,A,,
DG5001,CTU DIESEL GEN 400V 1000KVA,DIESEL GENERATOR,A,,
DW-PB01,DEMIN & COND. POLISHER LIGHTING PB,PANEL BOARD,B,,
E-DB02E,ORU LV DISTRIBUTION BOARD  380V EMER,PANEL BOARD,A,,
EM-850C,EM-850C DEOCTANIZER CONDENSER,MOTOR,A,,
EM-863A,EM-863A LEAN SOLVENT COOLER,MOTOR,A,,
EM-870I,EM-870I SRC CONDENSER,MOTOR,A,,
PM-3082B,MOTOR FOR P-3082 B,MOTOR,B,,
PM-3343A,MOTOR FOR P-3343A,MOTOR,C,,
XM-3370B,SLUDGE DEWATERING UNIT B,MOTOR,B,,
MCC-EM-896A,XYLENE COOLER MCC,MCC,A,,
A-MV-2411,MOTOR MV SWGR FOR PM-876B,MV SWGR,B,,
A-PB02,ARU  PANEL BOARD  FOR PM INSPT,PANEL BOARD,B,,
ARU-FA,ARU FIRE ALARM,FIRE ALARM,A,,
ARU-INT,ARU INTERCOM,INTERCOM,B,,
ARU-LN,ARU LIGHTNING,LIGHTNING,A,,
C-BD-01,OCU BUS DUCT TR-01,BUS DUCT,A,,
CFU-AH-HVAC,Air Condition AH CFU,HVAC,B,,
CFU-DB,CFU LV DISTRIBUTION BOARD,PANEL BOARD,A,,
CFU-ING,CFU INERGEN SYSTEM,INERGEN,A,,
CM-2094-11C,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2094-13B,MOTOR SOOT BLOWER at SUPER HEATER,MOTOR,C,,
CM-2400D,MOTOR FOR C-2400 D,MOTOR,B,,
CM-2400I,MOTOR FOR C-2400 I,MOTOR,B,,
CM-2400L,MOTOR FOR C-2400 L,MOTOR,B,,
C-MV-2315,OCU MV SWGR FOR BUS-A PT,MV SWGR,A,,
CTU-ING,CTU INERGEN SYSTEM,INERGEN,A,,
CTU-JE-2400,OVERHEAD CRANE 3 TONS FOR PM INSPT,CRANE,A,,
CTU-JE-4000-2,OVERHEAD CRANE 8 TONS FOR PM INSPT,CRANE,A,,
CTU-PE-4003D-CP,PE-4003D CONTROL PANEL FOR PM INSPT,DIESEL GENERATOR,A,,
E-BD-01,ORU BUS DUCT TR-01,BUS DUCT,A,,
E-LV02T,ORU LV SWGR FOR 690V BUS TIE,LV SWGR,A,,
EM-860B,EM-860B EDC CONDENSER,MOTOR,A,,
E-MV-2211,MOTOR MV SWITCHGEAR FOR SPARE,MV SWGR,C,,
E-MV-2216,MOTOR MV SWITCHGEAR FOR PM-226B,MV SWGR,A,,
