Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
TT-1750,,TEMPERATURE TRANSMITTER,Y,,,,Yokogawa,YTA320,,,,A
FV-1750,FUEL GAS FROM PTT,GLOBE CONTROL VALVE,Y,,FUEL GAS FROM PTT,"12""-FG-17009-B13A",,,,46,65,A
PG-2020,LC1 from F-9657 for PP#3,PRESSURE GAUGE,,,LC1 from F-9657 for PP#3,"3""-LC1-20005-A12A-P",ASHCROFT,T5500,,9,180,
HZC-1723,HP STEAM TO DOWNSTREAM PLANT,CONTROL VALVE POSITION,,,HP STEAM TO DOWNSTREAM PLANT,"6""HS 17002-D11T-H",*,*,,,,
PSV-2030A,MS2 STEAM HEADER,PRESSURE SAFETY VALVE,Y,,MS2 STEAM HEADER,"18""-MS2-20046-B12T-H",CHEIL,,,,420,C
LG-2001B,,LEVEL GAUGE,N,,,,AEE,,,540,350,C
PG-2006A,SHP BFP A Lesk off Pressure,PRESSURE GAUGE,N,,SHP BFP A Lesk off Pressure,"6""-BFW20254-20-D11T-H",WIKA,Type 232.30,,190,200,C
PG-2006B,SHP BFP B Leak off Pressure,PRESSURE GAUGE,N,,SHP BFP B Leak off Pressure,"6""-BFW20242-10-F11T-H",WIKA,Type 232.30,,190,200,C
PG-2015C,MP BFW C Discharge Pressure,PRESSURE GAUGE,N,,MP BFW C Discharge Pressure,"12""-BFW20201-11-B12A-H",WIKA (SNM Supply),Type 232.50,,21.4,200,C
PSV-2011,Polished Condensate/demin. Water,PRESSURE SAFETY VALVE,Y,,Polished Condensate/demin. Water,,Anderson Greenwood C,9611111D,,14,150,C
PY-2195A,ON LS2 HEADER,DESUPERHEAT,,,ON LS2 HEADER,,,,,,,
TT-2010,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
AT-2009,,MAIN ANALYZER,Y,,Low Steam Condensate,"6"" SSC 20011-10-A12A-P",,,,,,B
HZO-2002A,,OTHER INSTRUMENT,,,,,AEE,,,,,
PSV-2015A,Cooling Water,PRESSURE SAFETY VALVE,Y,,Cooling Water,,Anderson Greenwood C,9611011D,,8,250,C
FT-1750,FUEL GAS FROM PTT,VORTEX,Y,,FUEL GAS FROM PTT,"12""-FG-17009-B13A",Yokogawa,,,46,65,A
PG-2019,LC1 from F-6958 for HD#4,PRESSURE GAUGE,,,LC1 from F-6958 for HD#4,"6""-LC1-20006-A12A-P",ASHCROFT,T5500,,9,180,
PV-2192,ON SS HEADER,GLOBE CONTROL VALVE,,,ON SS HEADER,"12""SS 20002-G11E-H",SAMSON,Z-STYLE,,140.3,530,
HV-1723,HP STEAM TO DOWNSTREAM PLANT,BALL ON-OFF VALVE,Y,,HP STEAM TO DOWNSTREAM PLANT,"6""HS 17002-D11T-H",Tyco,E1108M-62ZX,,46,420,C
HEV-2010,0,JUNCTION BOX,,,HS TO F-6952 FOR HD#4,,CHEIL,,,,,
TV-2014,,BUTTERFLY CONTROL VALVE,,,,,,,,,,
PSV-2008C,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,8 T 10 JOS-H-E-35-C,,5.5,350,C
HZO-2005A,MP Condensate (MC2),OTHER INSTRUMENT,,,MP Condensate (MC2),,AEE,,,,,
AT-2005,,MAIN ANALYZER,Y,,Medium Steam Condensate,"10"" MC2 20003-10-B12A-H",,,,,,B
PG-2004C,MP BFP C Suction Pressure,PRESSURE GAUGE,N,,MP BFP C Suction Pressure,"16""-BFW20252-10-A12A-H",WIKA (SNM Supply),Type 232.50,,5.5,350,C
PSV-2005A,Boiler Feed Water,PRESSURE SAFETY VALVE,Y,,Boiler Feed Water,,Anderson Greenwood C,1 D 2 JLT-JOS-E-35-C,,24,200,C
PSV-2005B,Boiler Feed Water,PRESSURE SAFETY VALVE,Y,,Boiler Feed Water,,Anderson Greenwood C,1 D 2 JLT-JOS-E-35-C,,24,200,C
HV-2006A,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
HV-2006B,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
TT-2004,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PSV-2006B,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,3 M 6 HSJ-36,,21,373,C
FT-2005B,SHP BFP Turbine B Steam Flow,DIFF. PRESSURE,Y,,SHP BFP Turbine B Steam Flow,"8""-HS 20564-32-D11T-H",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,46.2,420,A
TT-2012A,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
