Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
P-1430,N-BUTYLENE FEED PUMP,PUMP,29-TFU,A,,N- Butene Feed Pump,CENTRIFUGAL(Horizontal),,
P-1516,OFF-SPEC RAW PYGAS RECYCLE PUMP,PUMP,29-TFU,B,,Pyrolysis gasoline pump,CENTRIFUGAL(Horizontal),,
P-3073,NO. 1 NaOH PUMP,PUMP,20-CTU,B,,,,,
D-413,DEMETHANIZER FEED DRUM NO. 3,DRUM,22-ORU,A,,Demethanizer Feed Drum No. 3,Vertical,-145,44.8
D-700,DEBUTANIZER REFLUX DRUM,DRUM,22-ORU,A,,Debutanizer Reflux Drum,Horizontal,75,6.3
D-2011,CONDENSATE FLASH DRUM,DRUM,21-CFU,B,,Condensate Flash Drum,Vertical,245,16
E-401,DEMETHANIZER FEED COOLER NO. 1,HEAT EXCHANGER,22-ORU,A,,Demethanizer Feed Cooler No. 1,H-BKU,,
D-800,GHU-1 FEED DRUM,DRUM,24-ARU,A,,GHU-1 Feed Drum,H,114,3.9 / FV
D-850,DEOCTANIZER REFLUX DRUM,DRUM,24-ARU,A,,Deoctanizer Reflux Drum,H,250,3.5 / FV
E-832,GHU-2 EFFLUENT TRIM CONDENSER,HEAT EXCHANGER,24-ARU,A,,GHU-2 Effluent Trim Condenser,,,
E-852,C6-C8 CUT TRIM COOLER,HEAT EXCHANGER,24-ARU,A,,C6-C8 Cut Trim Cooler,,,
D-2202A,CATION EXCHANGER,DRUM,20-CTU,B,,,,,
D-2210A,CONDENSATE MIXED BED POLISHER,DRUM,20-CTU,,,,,,
H-761,REGENERATON FIRED HEATER,FURNACE,23-OCU,,,Regeneraton Fired Heater,,,6.5
E-851,C6-C8 CUT COOLER,HEAT EXCHANGER,24-ARU,A,,C6-C8 Cut Cooler,,,
E-890,TOLUENE CONDENSER,HEAT EXCHANGER,24-ARU,A,,Toluene Condenser,,,
P-760B,OCU C4 FEED PUMPS,PUMP,23-OCU,,,OCU C4 Feed Pumps,Centrifugal,,
M-620B,PROPYLENE DRYER,DRYER,22-ORU,A,,Propylene Dryer,,Drying :  65 / -45 Regeneration :  262,"Drying :   38.0
Regeneration :  7.7"
P-1620B,CKB FEED TO BOILER PUMP,PUMP,29-TFU,B,,,,,
P-3075,"NO. 1 FeCl3, PUMP",PUMP,20-CTU,B,,,,,
P-246B,DILUTION STEAM DRUM FEED PUMP,PUMP,22-ORU,B,,Dilution Steam Drum Feed Pump,Centrifugal,,
D-560,ETHYLENE REFRIGERANT DRAIN DRUM,DRUM,22-ORU,C,,Ethylene Refrigerant Drain Drum,Horizontal,-111,29.5 / -0.5
D-3203,SPENT CAUSTIC VENT DRUM,DRUM,22-ORU,B,,Spent Caustic Vent Drum,Vertical,73,7.0
E-425,DEMETHANIZER REBOILER,HEAT EXCHANGER,22-ORU,A,,Demethanizer Reboiler,H-BEU,,
E-661A,PROPYLENE REFRIGERANT CONDENSER,HEAT EXCHANGER,22-ORU,A,,Propylene Refrigerant Condenser,H-AEM,,
E-3200,SPENT CAUSTIC WASH TOWER COOLER,HEAT EXCHANGER,22-ORU,B,,,,,
