Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"1""V 17002-A13A",,,,A13A,,,20-1700A,V,,,"1""",,,
"3""FG 26007-A13A-ST",,,,A13A,,,"20-1700A
20-2600B
20-2600C",FG,,,"3""",,,
"6""HL 17005-B13A",,,,B13A,,,20-1700A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"4""HX 17001-A13A",,,,A13A,,,20-1700A,HX,,,"4""",,,
"3""WG 17001-A13A",,,,A13A,,,20-1700A,WG,17.00 kgf/cm^2,65 C,"3""",,,
"18""E 17006-B13A",,,,B13A,,,20-1700A,E,,,"18""",,,
"4""MX 17001-A51A",,,,A51A,,,20-1700A,MX,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"6""HL 15006-A51A",,,,A51A,,,20-1700A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""E 12024-D21Q-C",,,,D21Q,K-14/D-2,,29RE4011-01200A/01700A,Liquid,,,"6""",-45/65,,FULL
"4""C4 17004-B13A",,,,B13A,,,20-1700A,C4,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"6""PG 17001-B13A",,,,B13A,,,20-1700A,PG,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"12""FG 17004-B13A",,,,B13A,,,"20-1700A
20-2500A",FG,,,"12""",,,
"4""PG 15006-A13A",,,,A13A,,,20-1700A,PG,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"10""HV M2250-A13A",,,,A13A,,,20-1700A,HV,,,"10""",,,
"6""SSC 20003-A12A-P",,,,A12A,,,"20-2000A
20-2000D",SSC,,,"6""",,,
"6""BFW 20030-A12A-H",,,,A12A,,,20-2000A,BFW,,,"6""",,,
"2""H 17005-B24A",,,,B24A,,,20-1700A,H,,,"2""",,,
"4""C4 17001-A13A",,,,A13A,,,20-1700A,C4,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"2""PR 13022-B13A",,,,B13A,,,20-1700A,PR,21.0 kgf/cm^2,65C,"2""",18kgf/cm^2,40 C,
"4""HX 17002-A13A",,,,A13A,,,20-1700A,HX,,,"4""",,,
"6""HL 17002-A51A",,,,A51A,,,20-1700A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""CKB 17001-B13A-ST",,,,B13A,Liquid,,29RE4011-01600/01700A,Cracker Bottom,,,"6""",0-23,80,-
"10""PSC 22101-10-A14K",,,,150#,14,,20-2000D,PSC,14,65,"10""",8,50,
"2""MS1 20005-B12T-H",,,,B12T,,,20-2000B,MS1,,,"2""",,,
"12""LS1 28001-A14T-H",,,,A14T,,,20-2900,LS1,,,"12""",,,
"8""MS2 20017-B12T-H",,,,B12T,,,20-2000B,MS2,,,"8""",,,
"6""HS 20024-D11T-H",,,,D11T,,,20-2000B,HS,7,300,"6""",41.8,400,
"14""HS 20026-D11T-H",,,,D11T,,,20-2000B,HS,,,"14""",,,
"4""LS1 24003-A14T-H",,,,A14T,,,"20-2000B
20-2400B",LS1,,,"4""",,,
"6""HS 20565-20-D11T-H",,,,D11T,,,20-2200G,HS,46.2,420,"6""",41.8,400,80
"16""LS1 20044-A14T-H",,,,A14T,,,"20-2000B
20-2900",LS1,7,300,"16""",4,200,
"2""CKB 16005-B13A-ST",,,,B13A,,,20-1700A,CKB,,,"2""",,,
"8""HV 17003-B13A",,,,B13A,,,20-1700A,HV,21.0 kgf/cm^2,65C,"8""",18kgf/cm^2,40 C,
"3""FG 17008-A13A-ST",,,,A13A,,,20-1700A,FG,,,"3""",,,
"6""PR 17001-B13A",,,,B13A,Liquid,,29RE4011-01300/01700A,Propylene,,,"6""",0-18,15-40,-  SPOT
"3""E 17004-B13A",,,,B13A,,,20-1700A,E,,,"3""",,,
"4""C4 14013-A13A",,,,A13A,V,,22-0300A,C4,3.5,121,4,0.67,AMB,
"6""CKB 17001-B13A-ST",,,,B13A,,,20-1700A,CKB,,,"6""",,,
"4""H XXXX-B24A",,,,B24A,,,20-1700A,H,,,"4""",,,
"14""WW 20030-10-B12A-P",,,,300#,16,,20-2000C,WW,16,245,"14""",4,158,
"1-1/2""BFW 20033-A12A-H",,,,A12A,,,20-2000A,BFW,,,"1-1/2""",,,
"8""LC1 20050-A12A-P",,,,A12A,,,22-2000B,LC1,6.80 kgf/cm^2,180 C,"8""",,,
"3/4""PH 20553-10-F11K",,,,1500#,99,,20-2000J,PH,99,65,"3/4""",90,36,
"10""MC2 20007-B12A-H",,,,B12A,,,20-2000A,MC2,,,"10""",,,
"4""MC2 20004-B12A-H",,,,B12A,,,"20-2000A
20-2000C",MC2,,,"4""",,,
"3""LC1 20008-A12A-P",,,,A12A,,,20-2000A,LC1,,,"3""",,,
"1""BFW 20025-D11T-H",,,,D11T,,,20-2000A,BFW,7,300,"1""",4,200,
"6""CKB 16034-B13A-ST",,,,B13A,,,"20-1700A
20-2500A",CKB,,,"6""",,,
"3""BU 17002-B13A",,,,B13A,LIQ,,20-1700A,BU,11.0,65.0,"3""",7.0,30.0,
"4""C4 17005-A13A",,,,A13A,,,20-1700A,C4,,,"4""",,,
"6""PG 17001-B13A",,,,B13A,Liquid,,29RE4011-01500A/01700A,Pyrolysis Gasoline,,,"6""",0-18,15-40,-
"8""TSC 20001-A12A-P",,,,A12A,,,20-2000A,TSC,,,"8""",,,
"6""SSC 20011-11-A12A-P",,,,150#,9,,20-2000A,SSC,9,180,"6""",6,100,
"6""LC1 20006-A12A-P",,,,A12A,,,20-2000A,LC1,,,"6""",,,
"8""SSC 20019-10-A12A-P",,,,150#,9,,20-2000D,SSC,9,130,"8""",4.2,60,
"14""LS1 20015-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"14""",4,200,
"8""HS 20027-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"8""",4,200,
"18""HS 20008-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"18""",4,200,
"8""MS1 22099-20-B12T-H",,,,B12T,,,20-2200G,MS1,21,350,"8""",18.3,320,80
"12""LS1 20047-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"12""",4,200,
"4""V 20001-10-A14K-P",,,,150#,7,,20-2000C,V,7,300,"4""",4,200,
"3/4""D 20236-12-A12A-P",,,,150#,8,,20-2000C,D,8,180,"3/4""",4,147,
"4""H 17002-B24A",,,,B24A,,,20-1700A,H,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
