ID,TagName,Description,Area
5266,TTDA7615B,TT7615B     DEVIATION,OCU
5267,TTDA7615C,TT7615C     DEVIATION,OCU
5268,TTDA7616A,TT7616A     DEVIATION,OCU
5269,TTDA7616B,TT7616B     DEVIATION,OCU
5270,TTDA7616C,TT7616C     DEVIATION,OCU
5271,TTDA7661A,TT7661A     DEVIATION,OCU
5272,TTDA7661B,TT7661B     DEVIATION,OCU
5273,TTDA7661C,TT7661C     DEVIATION,OCU
5274,TTDA7662A,TT7662A     DEVIATION,OCU
5275,TTDA7662B,TT7662B     DEVIATION,OCU
5276,TTDA7662C,TT7662C     DEVIATION,OCU
5277,AH07-CA,AH07 COMMON ALARM,OCU
5278,AH08-CA,AH08 COMMON ALARM,OCU
5279,OCUFIELD-CA,OCU FIELD COMMON ALARM,OCU
5280,OCUWATCHDOG,WATCHDOG OCU-AMADAS FAIL,OCU
5281,FAL7200,ANALYZER FLOW LOW,OCU
5282,AT7200-XFA,GC FAULT,OCU
5283,AT7200-PFA,PURGE FAIL,OCU
5284,FAL7201,ANALYZER FLOW LOW,OCU
5285,AT7201-XFA,GC FAULT,OCU
5286,AT7201-PFA,PURGE FAIL,OCU
5287,FAL7202,ANALYZER FLOW LOW,OCU
5288,AT7202-XFA,GC FAULT,OCU
5289,AT7202-PFA,PURGE FAIL,OCU
5290,FAL7300,ANALYZER FLOW LOW,OCU
5291,AT7300-XFA,GC FAULT,OCU
5292,AT7300-PFA,PURGE FAIL,OCU
5293,FAL7602,ANALYZER FLOW LOW,OCU
5294,AT7602-XFA,GC FAULT,OCU
5295,AT7602-PFA,PURGE FAIL,OCU
5296,FAL7606,ANALYZER FLOW LOW,OCU
5297,AT7606-XFA,GC FAULT,OCU
5298,AT7606-PFA,PURGE FAIL,OCU
5299,AT7603-XFA,GC FAULT,OCU
5300,AT7604-XFA,GC FAULT,OCU
5301,AT7609-XFA,GC FAULT,OCU
5302,AT7607-XFA,GC FAULT,OCU
5303,FAL7501,ANALYZER FLOW LOW,OCU
5304,AT7501-XFA,GC FAULT,OCU
5305,AT7501-PFA,PURGE FAIL,OCU
5306,FAL7502,ANALYZER FLOW LOW,OCU
5307,AT7502-XFA,GC FAULT,OCU
5308,AT7502-PFA,PURGE FAIL,OCU
5309,FAL7503,ANALYZER FLOW LOW,OCU
5310,AT7503-XFA,GC FAULT,OCU
5311,AT7503-PFA,PURGE FAIL,OCU
5312,FAL7600A,ANALYZER FLOW LOW,OCU
5313,AT7600A-XFA,GC FAULT,OCU
5314,AT7600A-PFA,PURGE FAIL,OCU
5315,FAL7601A,ANALYZER FLOW LOW,OCU
5316,AT7601A-XFA,GC FAULT,OCU
5317,AT7601A-PFA,PURGE FAIL,OCU
5318,FAL7701,ANALYZER FLOW LOW,OCU
5319,AT7701-XFA,GC FAULT,OCU
5320,AT7701-PFA,PURGE FAIL,OCU
5321,FAL7800,ANALYZER FLOW LOW,OCU
5322,AT7800-XFA,GC FAULT,OCU
5323,AT7800-PFA,PURGE FAIL,OCU
5324,FAL7802,ANALYZER FLOW LOW,OCU
5325,AT7802-XFA,GC FAULT,OCU
5326,AT7802-PFA,PURGE FAIL,OCU
5327,MAH7603,MOISTURE ALARM HIGH,OCU
5328,FAL7603,ANALYZER FLOW LOW,OCU
5329,TAH7603,SAMPLE TEMP ALARM HIGH,OCU
5330,MAH7607,MOISTURE ALARM HIGH,OCU
5331,FAL7607,ANALYZER FLOW LOW,OCU
5332,TAH7607,SAMPLE TEMP ALARM HIGH,OCU
5333,AT652-XFA,GC FAULT,OCU
5334,AT652-PFA,PURGE FAIL,OCU
5335,FAL652,ANALYZER FLOW LOW,OCU
5336,AT652-XFAB,GC FAULT,OCU
5337,AT652-PFAB,PURGE FAIL,OCU
5338,OCU-CVDA3,OCU-VALVE CLASSA DEVIATE,OCU
5339,XSP780A-ST,P780A       AUTO  START,OCU
5340,XSP780B-ST,P780B       AUTO  START,OCU
5341,XSP650A-ST,P750A       AUTO  START,OCU
5342,XSP650B-ST,P750B       AUTO  START,OCU
